id,train_test,pred_type,pred,prob_abiotic,prob_biotic,avg_rR45CO244CO2,sd_d18O13C,diff2_acf1,fluctanal_prop_r1,time_kl_shift
2961,train,TP,biotic,0.033,0.967,245.307531590953,-29.6998095561958,15.9021877261216,6.40839953779665,-1.24119214575224e-05
2962,train,TP,biotic,0.1816,0.8184,-66.083323401032,8.30574025665898,4.94288344515476,-0.34851419427691,-1.98801864310437e-05
2963,train,TP,biotic,0.028,0.972,108.995515316301,-9.00985983604103,8.74171717214885,3.63720072383531,-1.30877514128821e-05
2965,train,TP,biotic,0.0124,0.9876,72.7617072389659,-5.10832047158514,4.2410280980475,2.61235292960206,-7.24851915772585e-06
2966,train,TP,biotic,0.3101,0.6899,-28.1070498336693,3.74572077763904,-2.92769260496884,2.48093982212652,-9.40405969105189e-06
2968,train,TP,biotic,0.1353,0.8647,-11.6865244119548,-8.77391956248132,3.51268142023744,1.39180560397941,-6.62965821836362e-06
2970,train,TP,biotic,0.0665,0.9335,399.160412811727,-112.43531824718,18.8461819075297,13.0563963902049,6.09314579661293e-05
2972,train,TP,biotic,0.0965,0.9035,134.168846585231,-15.123350213243,10.6771368096257,4.05057164262419,3.99512971516674e-06
2973,train,TP,biotic,0.0141,0.9859,191.153741131685,-28.9447887252596,10.9231570658941,6.91064668490843,6.58548620941928e-06
2976,train,TP,biotic,0.0297,0.9703,136.21729174933,-11.1915895133978,8.89093938006434,4.13281908471056,-1.25739837005102e-05
2977,train,TP,biotic,0.0562,0.9438,285.546579275723,-42.1329180263275,12.9998752135274,8.42054280343756,1.53173900777008e-05
2978,train,TP,biotic,0.0489,0.9511,46.7360073130831,-13.3319148685481,6.29512836204095,2.74586436053938,-1.13784036928582e-05
2979,train,TP,biotic,0.1289,0.8711,-12.8359938033316,4.12454029765984,-2.46409319178102,1.86269271986549,-8.11678250232248e-06
2981,train,TP,biotic,0.1629,0.8371,28.6246521368903,-12.5215279574332,10.6060844690182,4.76093944055739,1.2794958898889e-06
2983,train,TP,biotic,0.1101,0.8899,160.463496222779,-13.5055235210239,8.95991355908966,4.18489207520804,6.71984919140071e-07
2984,train,TP,biotic,0.3775,0.6225,196.093404987696,-107.56965371983,22.0913475562737,15.3020565455992,6.98170122021645e-05
2985,train,TP,biotic,0.0691,0.9309,41.2076190180624,-10.0557103237294,8.02423172529854,3.78106808588466,-1.35163055498948e-05
2986,train,TP,biotic,0.0794,0.9206,288.228492831388,-143.610063840384,17.9624324678778,9.7879437430086,-5.24412400717018e-05
2987,train,TP,biotic,0.0099,0.9901,372.165730983211,-91.0603026410023,20.7278696853198,12.4771205358813,7.14414989234067e-05
2988,train,TP,biotic,0.0606,0.9394,27.689928173517,6.0987057955239,-5.49568403729746,2.78947436989757,-1.13489867733952e-05
2989,train,TP,biotic,0.4309,0.5691,-94.1980756316676,8.12399504071393,7.83539885112234,3.43952165405465,-1.98570164284163e-05
2990,train,TP,biotic,0.0895,0.9105,-16.8995913009319,4.9732199287488,2.15324161804228,-1.03754255233916,-9.47042849353939e-06
2993,train,TP,biotic,0.106,0.894,206.037463852033,-77.6333774012567,11.0117842080818,7.85712589585047,8.22469510655096e-06
2995,train,TP,biotic,0.1171,0.8829,105.08507352224,-51.4690830332842,11.0167183531161,4.35296719701318,4.38154800648254e-06
3001,train,TP,biotic,0.0466,0.9534,54.2511084801456,-5.05084682686999,3.59690643397068,1.89571000378645,1.28233342619139e-06
5882,train,TP,biotic,0.2762,0.7238,-73.9586939646438,-33.1869757842203,11.075267894983,6.31766815798533,-2.4710392103969e-05
5884,train,TP,biotic,0.4428,0.5572,74.4785031680513,-38.8036012657729,24.0338744655168,-16.8695437514666,-0.00013021402658714
5885,train,TP,biotic,0.1409,0.8591,446.650447912418,-62.9723412180563,23.9286274871797,1.55852943587771,-0.000181738022145593
5887,train,TP,biotic,0.2634,0.7366,258.432444613974,-21.1452093395233,11.9209440371298,-6.69950819510886,-4.39964427445485e-05
5892,train,TP,biotic,0.1784,0.8216,115.374001722434,5.20039399383359,-3.63244290054342,3.27674870372412,-1.97952861397137e-05
5893,train,TP,biotic,0.2477,0.7523,274.970932339268,-33.3156974142177,10.9600673003161,10.0489100379464,-2.60208406537658e-05
5894,train,TP,biotic,0.5202,0.4798,279.383633353844,13.6105688189238,-11.6319364802717,2.22525830968862,-3.90044355002227e-05
5897,train,TP,biotic,0.4746,0.5254,-40.9498053160213,10.6027539953967,6.07024845815629,-2.5540276700625,-3.03572459682482e-05
5901,train,TP,biotic,0.2254,0.7746,16.7398862555347,3.33598286765042,1.95428045704342,-0.802653993623979,-6.74637297595807e-06
5908,train,TP,biotic,0.1489,0.8511,-49.8304744538213,-21.4625363713673,6.2374893605547,4.74293585847574,-1.44267372474631e-05
5909,train,TP,biotic,0.3492,0.6508,-7.09475798469949,7.01743323122268,5.38867053308322,0.217121742190737,-2.42780793216105e-05
5918,train,TP,biotic,0.4036,0.5964,167.669979683144,-27.7595340957261,10.5831055546175,8.8619283228341,-3.54652098756188e-05
5920,train,TP,biotic,0.3685,0.6315,-67.6296281513029,-8.43300584403566,6.6632985758584,4.61946997264549,-2.61983551967141e-05
5926,train,TP,biotic,0.2092,0.7908,48.3968026031672,4.09074656379544,2.29283854579081,-0.844198325805591,-8.65728617524482e-06
5935,train,TP,biotic,0.2999,0.7001,-95.3704053661574,-11.4894930185879,8.828899014264,7.01944760650673,-1.89083165374759e-05
5938,train,TP,biotic,0.3688,0.6312,-28.8312665438184,4.6636766842369,3.39430072667376,-2.799484192117,-2.04534041396064e-05
5948,train,TP,biotic,0.5825,0.4175,-70.1121181342127,-32.5130798191721,7.34692901568507,4.17345480914389,-2.57987314200407e-05
5954,train,TP,biotic,0.1674,0.8326,220.402715265276,-36.673395353657,13.1291888316711,0.094675480335835,-7.75942881041519e-05
5955,train,TP,biotic,0.2668,0.7332,50.4331912710325,-11.9234671936108,4.82596012477055,4.21809062880359,-2.35553215785242e-05
5960,train,TP,biotic,0.4336,0.5664,-68.6444832474682,-13.1248278911664,5.58028563166194,4.03302612811386,-2.19055182926545e-05
5961,train,TP,biotic,0.3906,0.6094,-45.1174526774672,4.95570437201475,3.00108502312832,-2.28096865248966,-9.39698045298287e-06
2960,test,TP,biotic,0.0123,0.9877,490.373647731821,-128.831469170576,24.4622113962696,16.1720073248078,0.000119232353393498
2992,test,TP,biotic,0.0511,0.9489,147.206352525357,-12.1820843335926,8.84462589615342,4.19942359488484,-1.21127983407878e-05
2996,test,TP,biotic,0.0493,0.9507,53.1784115505878,-8.69220504840527,4.25594848884985,1.87891221726519,-8.21948774549703e-06
5881,test,TP,biotic,0.3864,0.6136,-50.3988827234189,-31.487161238151,8.36849146110643,4.61262383702465,-1.91812635411298e-05
5889,test,TP,biotic,0.1948,0.8052,229.967842829832,-32.4725534707121,16.3514099347543,-2.12235919128876,-0.000103962874319267
5917,test,TP,biotic,0.1378,0.8622,-30.1098013528867,6.94896121749034,3.85265078412091,1.38429058188125,-1.49492880168881e-05
5929,test,TP,biotic,0.1795,0.8205,5.7120542209267,5.68277682312927,3.47793885034227,-3.47397074114483,-1.25028615762757e-05
5939,test,TP,biotic,0.5022,0.4978,-293.387591861499,-46.0408210367594,21.3756789117852,14.0561732660016,-3.09990667971133e-05
5944,test,TP,biotic,0.3597,0.6403,-156.844543278041,-25.0632176791724,11.6034333357237,10.5173677359248,-5.05725039495582e-05
5959,test,TP,biotic,0.1964,0.8036,-12.1853809138562,2.9694040800736,2.00021326163838,-1.25067934299669,-6.44091201869271e-06
