id,train_test,pred_type,pred,prob_0,prob_1,mainvar5,mainvar9,mainvar1,mainvar4,mainvar7,mainvar10,mainvar3,mainvar8,intvar4,mainvar6
1,train,TN,1,0.3166,0.6834,0.0749007199105559,0.0788253132121491,-0.0226864281943257,0.050339682455759,0.00518049586511098,-0.0186379520194193,-0.0467892939717393,0.0020485614677056,0.00117356942881583,0.011243384831293
2,train,TN,1,0.243,0.757,-0.0616321064044378,0.0739264004787079,0.0533992646152841,0.0609645033569837,-0.0185357687201346,0.0431221620914378,0.0590233748061767,0.0128911009582724,2.75838815446713e-05,-0.034869744112666
3,train,TN,1,0.2592,0.7408,0.043250093808489,-0.0449833420345422,0.0333374481499052,0.0393566498536568,-0.0167516640168719,-0.0315916776218591,0.0362458263386741,-0.00999640874857911,0.00637298035751417,0.0225490274408667
4,train,TN,1,0.4343,0.5657,-0.156228432099158,0.186457678500161,0.123967148942838,0.141760600670706,0.0351616365194362,0.109669697111632,0.126567250508312,0.00944857775908861,-0.00575354464330962,-0.0969366815683121
6,train,TN,1,0.4086,0.5914,0.166303589248924,-0.222095280602463,0.119549689473221,0.165525367813032,0.0376151290736522,-0.117585192913164,0.124282163847751,-0.020582011813241,0.0162593590578149,-0.0549764567380343
7,train,TN,1,0.5049,0.4951,0.0942770578948153,-0.127949020037815,0.0711612106809238,-0.0921134254199836,0.0231775462126175,-0.0534988077753865,0.0833861180461358,0.0227743306881022,0.0190008592353071,0.0477712470826466
8,train,TN,1,0.2283,0.7717,0.0784870785140004,-0.0879867904857073,0.0553405872382038,0.0752990656832344,0.0176995310700994,0.0519467595851917,0.0691586974569716,0.0167929071659396,0.00652700969995538,-0.0508505791053431
9,train,TN,1,0.1717,0.8283,0.184750360255716,0.247930030439625,0.143872711275416,-0.175541314637051,-0.0400121413731836,-0.114747529902242,0.173315017275086,0.0260093111866616,0.00782049879983803,0.103802544381415
10,train,TN,1,0.1916,0.8084,0.144173643743428,0.161858111877442,0.0983038551220108,0.12868882286964,0.0764104349155693,-0.0862359477914681,0.124610980095116,0.029225639419938,-0.00421298613715909,-0.0855662547584462
11,train,TN,1,0.1887,0.8113,-0.0383146076491142,0.0386913653829861,0.0321502027102612,0.0363954026527619,-0.0110911291932061,0.0320428147169698,0.0348787208861447,0.0089451208690608,0.00800633497331775,-0.0212277498409855
12,train,TN,1,0.2573,0.7427,-0.035107971152779,0.0387291383165001,0.0215913959817113,0.0309631450572367,0.0132573404652404,0.0203444228803387,-0.024777854018558,0.00592854629394748,-0.00553121718238785,0.0141092564074112
13,train,TN,1,0.2588,0.7412,0.0906091526583801,0.0948694557699135,-0.0672758641178828,0.0725143646770338,-0.0446915224362587,0.0594930289202706,0.0724902158587415,0.0104875547191039,-0.00710172002179521,0.051739991614389
14,train,TN,1,0.3364,0.6636,0.118176229183436,0.147435106958998,-0.0843755655884978,0.113568754654389,-0.0402187657804668,-0.0537423485179976,-0.110564817642362,-0.0229990276758157,0.0227730620300248,-0.0532002890055969
15,train,TN,1,0.1763,0.8237,0.0450827647019601,0.0464589173058911,0.0309374369551619,0.0390659961818622,-0.012299386046447,0.0260382093679113,0.0389962768457349,0.00971153770022138,0.00664125819791614,-0.0236299167319971
16,train,TN,1,0.1874,0.8126,0.20843915213415,0.20878067718597,0.115625832381304,0.179869823091725,0.069937800143802,-0.109286723713594,0.140857703209069,-0.0500683340363518,0.0155404664644148,-0.0969550005520441
17,train,TN,1,0.3523,0.6477,-0.32285813434448,0.337366530846517,0.195675026538695,0.308061093178484,0.130427391232738,0.185042296258779,0.239449163708027,-0.0931844488087378,-0.0059088573131265,-0.135265690832922
18,train,TN,1,0.3913,0.6087,-0.0765538737500003,0.0776320408265899,0.0453695204955515,0.0722592558848392,-0.0381606585437473,-0.045246259392155,0.0512759748347643,-0.0229600446559794,0.0130679850597436,0.0433539127689782
19,train,TN,1,0.4454,0.5546,0.0924526578256242,-0.0950094903891166,0.0705089389699014,-0.0830737376352413,-0.050235054073119,0.0663898018194278,0.0762305160208659,-0.0255878340963275,-0.020110729623822,0.0641175864615735
20,train,TN,1,0.1943,0.8057,0.0916348118809174,0.103508985095996,0.0699297264677562,0.0834917718732582,-0.0401178167257168,-0.0598391532724357,0.070654848802813,-0.0398305967420764,-0.0268255099197377,0.0586751692092936
22,train,TN,1,0.1532,0.8468,0.179357572734764,-0.18174902598775,0.17432932180617,0.17789605372423,0.142749748825187,-0.156033863497922,0.177011744002894,-0.0502220371117392,-0.0481023535686561,0.153034152434728
23,train,TN,1,0.3223,0.6777,0.0529935607720278,0.0537895218016888,0.0390906266559588,-0.0426389996525537,0.00988076053676506,0.0336534194892304,-0.0399349037431548,0.00830061231785281,0.0018769557659684,-0.0216732643775359
25,train,TN,1,0.2712,0.7288,0.0388854755785568,0.0436516674172994,0.0272398432107729,0.0350587548863657,0.00980101499447569,-0.0251696828095431,0.02891043556174,0.00496625520035877,0.00234935261503861,-0.0177783140500093
26,train,TN,1,0.2252,0.7748,0.0786808082516225,0.0838125129508764,0.0353135355122753,0.0659668304085735,-0.0173197607403382,-0.0292667256231403,0.056116030191943,-0.0139788198148341,-0.00935179185950341,0.0195067035752466
27,train,TN,1,0.2298,0.7702,0.0650665646193131,0.0765608434495553,-0.0312321726385471,0.0596422512112388,0.0185928993497653,0.025726047688881,0.0578109933786243,0.0127304250319595,-0.00544374193985867,-0.0245674017094762
28,train,TN,1,0.3689,0.6311,0.0713554244393675,0.0785944852614959,0.053027085723927,-0.0597726174586317,0.0274861530337641,-0.0492137476243802,0.0581702786604215,0.0210977415373839,0.0201577838844883,-0.0309633514021685
29,train,TN,1,0.4315,0.5685,0.082179741075274,-0.111246131621453,0.0616551106309726,0.076168744084806,0.0191016449473935,-0.0577555537964183,-0.0753272903553534,0.0127844953493906,-0.00361897805163115,-0.0292535142370562
31,train,TN,1,0.3485,0.6515,-0.0805859441589373,0.0921294296512219,0.0504278686613861,0.0691953111560428,-0.0211295584717636,-0.045253823513411,0.0524361732073845,0.0207767424361213,-0.0135154386561079,-0.0364656324587658
32,train,TN,1,0.2,0.8,-0.0663038546024153,0.0732593005552639,0.058003870318777,0.0646502946006646,-0.0402481094334176,0.0525501600821389,0.0589989489696603,-0.0248001739793691,0.0156615326357452,-0.0515974272811908
33,train,TN,1,0.4068,0.5932,0.0812144719997732,-0.0822625289546935,0.0536528306750416,-0.0699620162475877,0.0172152963499226,0.0533163946518797,0.0635108039813879,0.0120705815123178,0.00824675089221521,-0.0293652449208406
34,train,TN,1,0.1315,0.8685,0.0506293291760263,0.0516406861885572,0.0396123180538079,0.0432668080814359,-0.0192407368672864,0.0297862229068162,0.0413029456069681,-0.0125129840143792,0.0105315568567856,-0.0223104122249132
35,train,TN,1,0.1382,0.8618,0.0593479074239558,0.0764502809192062,-0.0212875024124041,0.0589248917378451,0.00739986610817856,0.0163852269177017,0.0457979423579689,0.00718341659098949,0.00680362644963934,0.0129116396247201
36,train,TN,1,0.0452,0.9548,0.133994142570334,0.138810637049304,0.103162866999935,0.123029797429118,0.0478659717024981,0.0768222718207962,0.106107036786726,0.0427562211521415,0.0250662081129536,-0.0568108171924288
37,train,TN,1,0.4055,0.5945,-0.0814342310914364,0.0890399531264056,0.0668143871562085,-0.0779244298200289,-0.0382728869704134,0.0595640756562234,0.0705272909008704,0.0167579329385766,0.0102930056194408,0.0509048303014319
38,train,TN,1,0.1951,0.8049,0.0478802691227827,0.0569694305495718,-0.0262438382552517,0.045029391360521,0.0104272353134373,0.0245242628606681,0.0297395963251207,0.00540115340318615,0.00324166499637304,0.0113191063052969
39,train,TN,1,0.3156,0.6844,0.160022345565239,0.171579011747853,-0.070532963661332,-0.0958028865347531,-0.0194423961231215,-0.0213433286262039,0.0821452364992879,0.0179627592184806,0.00826620487373461,0.0209875546242716
41,train,TN,1,0.2431,0.7569,0.139735250152713,0.145002786887443,0.0889211198294601,-0.115748402506944,0.0541297805699135,-0.0792917825010248,0.115080122095321,-0.0453438616856628,-0.0405610418742298,0.0551701156405893
42,train,TN,1,0.43,0.57,-0.0630541382042523,0.0649656045320913,-0.0438587482234069,0.0498327385541446,-0.0363376837885049,-0.0409768963802022,0.0497923080301523,0.0118557340170531,0.0117208902820184,0.03809607908987
43,train,TN,1,0.1993,0.8007,0.120703186418908,0.129837030068376,0.0953086058964026,-0.112539911126861,-0.0543137400159147,0.0871165527763919,0.0981784981394688,0.0520559230974631,0.0234092541189336,-0.0645923213213224
44,train,TN,1,0.208,0.792,-0.0865001749000724,0.100699029356433,0.0673522430072494,0.0785839909757032,0.0384922991970296,0.0650947706487441,0.0679839035207143,-0.0321901478968072,-0.0317786386785764,0.0414289017177236
45,train,TN,1,0.3431,0.6569,0.0535623604163438,-0.06394592278411,0.0355704728136354,0.0468719787074614,0.0121052054637183,0.0334724329727499,-0.0458306596641069,0.00947815558974355,-0.00530313517256244,0.0208246305533981
47,train,TN,1,0.1167,0.8833,0.117657612397768,0.13164084490873,0.0760965291110377,0.0964158945332704,0.0134819439828202,-0.0666208374611772,0.0914953691821016,-0.00767453727939794,-0.00472906640029941,0.0556446526405636
48,train,TN,1,0.1264,0.8736,0.111778777745581,0.116528504828779,0.079936204751586,0.0921305315687675,-0.0656395257482575,0.0689265977133453,0.0891297354659431,-0.0472743585936043,0.019869551713177,0.0681210016865544
49,train,TN,1,0.4361,0.5639,-0.0311169620947392,0.0538165769404246,-0.0217356876702951,0.02776638270638,0.011940387108345,-0.0157266035730053,0.0267482980695741,-0.00595547458581257,0.00575860341080612,-0.0134201720927405
51,train,TN,1,0.438,0.562,0.0560616528670247,0.0668895072706851,-0.0398664528314092,-0.0545449426970149,-0.0115773166719075,-0.026238054468864,0.0476743760503356,0.010107017952376,-0.00967622909765071,-0.0150250275222806
53,train,TN,1,0.3793,0.6207,0.144968477939071,0.155333275759415,0.115484392370793,0.130048841125286,0.0618629909128684,-0.113941033139409,0.126122148292554,-0.0298434568753987,-0.00364262955701444,-0.0895818652587544
55,train,TN,1,0.1789,0.8211,0.0574846959986071,0.0613206821168601,-0.0246817237874953,0.0490808412431703,0.0159533813653429,-0.0241555807649388,0.0398609612761955,-0.0100250289675304,-0.00877283229035922,-0.0193286611745899
56,train,TN,1,0.4435,0.5565,0.0733535418328477,0.0803977774082946,-0.0385596851777257,-0.0537970745904955,-0.021922258877085,-0.0296994334402568,-0.0465449973881745,0.0133585132326568,0.0127052458641788,-0.0259397743111758
57,train,TN,1,0.2204,0.7796,0.0735845658657691,-0.0756417166347697,0.0519847636304243,0.0631523887153968,0.0430208164335475,-0.0448900616650093,0.0625123830825083,0.014296029743048,0.00633952099579527,0.0445968511028268
58,train,TN,1,0.269,0.731,0.0234544836439272,0.0263003612414606,0.0196571966272201,0.0213213545135832,-0.0083241262282785,-0.0181645397482326,0.0202817296396686,-0.0056438950974649,0.00439163693550934,0.0171688322942435
59,train,TN,1,0.1467,0.8533,0.05738238713348,0.0603079240205215,0.0376632253369432,0.0448721790320646,-0.01072082968361,-0.0245247855696745,0.0443865438316378,0.00997836501815331,0.00207040548460487,0.0118106966974212
61,train,TN,1,0.2585,0.7415,0.052581648698598,0.0831492329086537,0.0311885897269289,-0.0346611375537492,0.0234602134591468,0.0242412465709741,-0.0316501055555938,-0.0225107186147756,-0.00773781471698371,-0.0240251061244322
62,train,TN,1,0.3428,0.6572,0.0568541242341136,-0.0569502562926437,0.0448411388672748,0.0562363741554036,0.030101979402294,-0.0408177986684012,-0.0479055017078641,-0.0213161257387793,-0.0168173441501054,-0.0323481844410419
63,train,TN,1,0.1816,0.8184,0.0582296858812868,0.0627233604210869,0.0362068399750924,0.0473942878421774,-0.0161827328736908,0.0235608984628205,0.0434276072164403,-0.00869068590411232,0.0018490840493913,-0.0194105356238424
64,train,TN,1,0.17,0.83,0.102725498608621,0.105447526319237,0.077627893646922,0.0815308977787739,-0.0404597761104511,0.0621713902922262,-0.0807227685605062,-0.0327312274686599,0.0103366562539534,0.0473882718891873
66,train,TN,1,0.4146,0.5854,0.0452255924497479,-0.0463047366580875,0.0424812180999541,-0.0444189778664565,-0.0242725026663555,0.0361723609319839,-0.0430066645655297,-0.019094462248174,-0.00613481463231865,-0.0330499286231425
67,train,TN,1,0.4701,0.5299,-0.0669575840675399,0.067101003283101,-0.0543937964651131,0.0604554462935557,-0.0210737862810181,-0.0435610165685089,0.0598797782089439,0.01170723497009,-0.00571277280386604,-0.0426705263373109
69,train,TN,1,0.2014,0.7986,-0.0801906057927539,0.0924296835824205,0.0529898472845084,0.0658780182860376,0.0416807146938411,-0.0458723145111361,0.0628917371929709,0.0164335540585931,0.0121310288367913,0.0424568215362491
70,train,TN,1,0.4518,0.5482,-0.562248538710055,0.597977671989252,0.415453820188265,-0.493006533881223,0.142082965167938,-0.297072588232683,0.441488163650176,-0.0572169203929005,0.00693148295235539,-0.229212538271593
71,train,TN,1,0.1269,0.8731,0.0368471248950697,0.0382442454132081,0.0256426257862832,0.0295569071864118,-0.00880472071989169,0.0224300063872336,0.0262199807212213,0.00799329579383597,0.00196750602159964,-0.0184378939350171
72,train,TN,1,0.4257,0.5743,0.0442902598944008,0.0447337542460558,0.0403270338485927,-0.0420760072496382,-0.0160161245945431,0.0385416803868209,0.040809914297167,0.0132756007304133,0.0106359015986434,-0.0317564255535911
73,train,TN,1,0.4142,0.5858,0.0404248350543175,0.0453646706037054,0.0340466452468138,-0.0374703091430689,0.0131795032881055,0.0219130020168612,-0.0345213100024997,-0.011461893099197,0.00432349162580837,-0.0171747811734039
74,train,TN,1,0.1598,0.8402,0.0695274270990188,0.0743304786011837,0.0523593463389192,-0.0652919082341151,0.027808406544108,0.0439267070526495,0.0551164919253354,-0.0236001156357683,-0.00051404043147777,0.0429444133982417
75,train,TN,1,0.0447,0.9553,0.0806218511472301,0.0856995441642307,0.0644221787268814,0.079542794804775,0.0499869887323016,0.0625954570557474,0.0727779577196697,0.0151698246681152,0.00920934559518094,0.0594775745074506
76,train,TN,1,0.433,0.567,-0.138237780120098,0.196854746047572,-0.106331750156762,-0.113392380720828,0.0309919018429286,0.0742834196395455,0.110552366384153,0.021076731287755,-0.00567643651570661,-0.0331012920443116
77,train,TN,1,0.4235,0.5765,0.0785037515614795,-0.0837665079730995,0.0544208917787239,-0.0702800314832253,-0.0242177119924215,0.0504001552747377,0.0670573440082665,0.0159318490839788,-0.0114982574966455,0.0416991156992579
78,train,TN,1,0.327,0.673,0.17760436123324,0.218506913125876,0.137555812918984,-0.151226239896989,-0.0858656629625617,0.132023563369289,0.148087192148577,-0.0627083033589095,-0.0566154089296811,0.12416146805004
79,train,TN,1,0.0748,0.9252,0.305316641269658,0.314497188269104,0.249779468615983,0.270063329684407,-0.116508722299144,0.236214018133725,0.264952384079408,-0.103691229453512,-0.0799751058409008,0.14574764356506
80,train,TN,1,0.1796,0.8204,0.029808002569938,0.0321384121772249,0.0234409168593258,0.0287317841757925,-0.01411474982022,-0.0217975866865897,0.0255003438436593,-0.0138033857288954,-0.0112412448081242,0.0200427827086946
81,train,TN,1,0.0605,0.9395,0.0497961696767151,0.0524486766537961,0.0384002680436683,0.0463183618606231,-0.0153051600216806,0.0359359502217165,0.039786288740079,-0.00750975214689235,0.00651062408447372,0.0251028711324668
82,train,TN,1,0.2612,0.7388,-0.0975984977689489,0.101620273943463,0.061906342283442,0.0754065422371823,0.0416643739826084,-0.0544476964624607,0.0750424599689709,-0.0205038344260423,-0.00611449818215162,0.0438890716316164
