rf_score,variable
38.8243175876219,mainvar5
38.70195915175,mainvar9
30.8865497785915,mainvar4
28.9223718300816,mainvar1
28.3546414538793,mainvar7
23.8822352857024,mainvar3
18.9321837202627,mainvar10
11.2537557395297,mainvar8
6.39178670719739,var40
6.37353006935869,intvar4
6.23300828928857,mainvar6
6.20390059781476,var37
5.70349168700442,intvar9
5.66877778850632,var47
5.17347826628148,var33
5.16890775052792,var12
5.0547172076168,var51
4.55642366083751,intvar6
4.53865461726926,mainvar2
3.98785653892635,var74
3.958736886688,var72
3.92739603657707,var49
3.91676678355327,var31
3.33016003034152,var71
2.86092437264251,var77
2.84530150248828,var63
2.33495292849613,var36
2.25151475806603,var21
2.05703276072626,var34
1.91709454142378,var15
1.87297260447522,var32
1.82879530546534,intvar2
1.54652488931016,var59
1.48595554039362,var1
1.46152233308666,var69
1.39299886841978,var80
1.26216245428653,var66
1.20551909248296,var76
1.20314649985847,var5
1.13725784801098,var75
0.934266603645179,intvar10
0.834045308511204,var53
0.827539892864088,var56
0.755845947455869,intvar8
0.742982004352454,var58
0.673344283124839,var35
0.582176700257415,var20
0.568104112511838,var50
0.500089733265866,var4
0.498332818317377,var64
0.458963859493683,var39
0.324560646142761,var68
0.231826736372602,var52
0.199596456141581,var7
0.192767915188452,var16
0.177076717764406,var29
0.133786159648452,intvar3
0.126189925450294,var78
0.0847244771692535,var67
0.0837145162388661,var27
0.0553982781224087,var28
-0.237434983777958,intvar1
-0.392762232612386,var41
-0.401640135533719,var17
-0.407914208321423,var60
-0.412944728071247,var38
-0.468179451754016,var43
-0.496621259399043,var42
-0.509673857602299,var45
-0.526028123251109,var24
-0.529997076392885,var57
-0.531031470393393,var11
-0.699406289772151,var25
-0.782622933088983,var54
-0.820682661439761,var30
-0.961894837323724,var3
-0.968828122928483,var6
-1.02276845987283,var26
-1.02485131871729,var44
-1.0440625951748,var46
-1.15963981039873,var14
-1.16632308102128,var10
-1.20533148740129,var79
-1.2382346378859,intvar5
-1.23926541016545,var70
-1.37197446334016,var9
-1.42076404853971,var22
-1.42102108672277,var73
-1.4412548592115,var55
-1.48205336779089,var13
-1.5904970239121,var8
-1.63961558503727,var2
-1.75249923973664,var18
-1.8864570552699,intvar7
-2.12509235217892,var65
-2.18000661514738,var19
-2.28157073920679,var48
-2.32274670330007,var23
-2.42879011659424,var62
-2.60515474418385,var61
