V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174
0,1,0.758188828327876,0.951571229534631,1,0.989728267655128,0.940888578860142,0.969963093301422,0.984368222585752,1,0.861613630800075,0.976663452360268,0.883628881374981,0.916234880552082,0.994674743431254,0.942072184070839,1,0.986099709987185,0.9916443655137,0.979039589862697,0.939288558932715,0.999187982001697,0.953098602750463,0.974933356442865,0.987133130931091,1,0.991489206929469,0.971029852841719,0.999253452676831,0.997076017132899,0.95707551319865,0.993690788750605,0.954628191868164,1,0.997058817159341,0.999211045242072,0.986793257447884,0.999215993607427,0.982528089055541,1,0.99383661308973,1,0.989728267655128,0.999226903633956,0.997638721616159,0.999264435354679,1,0.923398384665312,0.981751739487851,0.997664457691046,0.992976893195359,0.997634998659921,1,0.944444444444444,1,1,1,0.999228097144719,0.993052791222021,0.99924442754607,0.975441796298257,0.995264377490907,0.996086090656827,0.994698940319689,1,1,0.976540909730425,0.98880979319668,0.999264435354679,0.996855338125415,1,1,0.99447291464009,0.990521113087297,0.994498975950274,0.998465079678515,0.999226903633956,0.994507608523726,0.974436664889066,0.989417691584829,0.994516214045804,0.995279281269185,0.969818942116416,1,1,0.993179154954864,0.997700265257837,0.98999590080671,0.997001492500339,1,0.999226903633956,0.892073873508128,0.99537391505365,0.999250093632814,1,1,0.982607368881035,0.978876578999203,0.999225706426682,0.952487640026114,1,1,1,1,0.994575705827027,0.999245567602908,0.999238675184652,1,1,0.993220260811511,0.99401192220845,1,0.885580018125938,1,0.971467961386272,1,0.993084819079759,1,1,1,1,0.989902653949748,0.99845081239278,0.970414362978228,0.996042722901574,1,1,0.992277876713668,1,1,0.997721227573836,1,0.990536064687909,1,0.9916443655137,0.998411436645933,1,1,0.998549672913352,0.980044040943288,0.949967907031729,0.777885020491528,0.733394217883771,0.979300174391373,0.99606142620818,0.999213527208261,1,0.989980479450606,1,1,0.991203347670457,0.997731566076577,0.999248967224134,1,0.999211045242072,1,1,0.995308809156748,0.99214441878732,1,0.999255675371376,0.969440464811953,0.999267667422829,0.991489206929469,0.992418389500482,0.995578460287403,1,0.999226903633956,0.974284747510074,0.98447110623617,1,1,0.996865196048258,0.976540909730425
1,0,1,1,0.405004662909475,1,0.998521802591765,1,1,0.973123680201904,1,1,1,0.998469777221356,1,1,0.846518307674209,0.998536941425711,1,1,1,0.951412205715895,1,0.991993466048348,1,0.968742245626533,1,1,1,0.897050150270236,0.999230473144979,1,0.999264435354679,0.999264435354679,0.996152352026808,0.997577711420309,1,0.996870101868844,1,0.995430288351005,0.982440773491065,0.917709113010795,1,1,1,1,1,1,0.998519614288244,0.998428907120867,1,1,1,0.998481396238455,0.996267250877688,0.950331340758589,1,1,0.991854732916791,0.999214762344554,1,0.993158414535988,1,0.996946557757431,1,0.999245567602908,1,1,0.993817560523835,1,1,0.994892341648161,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999264435354679,0.954748253670075,0.999234009845468,1,0.999250093632814,1,1,0.997634998659921,0.9753601558544,0.999247837426483,0.99401192220845,1,0.996951212416694,1,1,0.99924442754607,1,0.983220285482197,0.98273791497215,0.972513821254033,0.99924213706431,1,0.999225706426682,0.983593219426494,0.981367343026181,0.998495108251917,1,0.999260081289737,0.999248967224134,1,0.989053618694754,1,0.999230473144979,0.999245567602908,0.997785157856609,0.995279281269185,0.99114670703776,0.906530065657554,0.998457979036367,0.999228097144719,1,1,0.999243284038434,1,0.997748590014319,0.996955852906425,0.998483698900336,1,0.996086090656827,1,1,0.973370313991927,0.999264435354679,0.997010456688529,0.999253452676831,1,0.999191919059948,1,0.999260081289737,1,1,1,0.99338957132132,1,0.992498018582849,1,1,1,0.997714282725439,0.977558848241449,0.980196058819607,1,1,1,1,1,1,0.968920001934759,0.999257884869956,0.999262264746504,0.988725682551193,1,0.915108361279382,1,0.999225706426682,0.99693250811046,0.996181734815735,0.99785790543012,0.999220880286859
0.758188828327876,1,0,0.973728991120295,1,0.989963903720974,0.97961280902476,0.961940449814723,0.970275654783975,1,0.760631934508682,0.978282697913562,0.925933551166859,0.905995006899486,0.964274111134126,0.988776299993366,1,0.959852158382404,0.997067442366186,0.988742605685882,0.881917103688197,0.999231655668348,0.958438652790459,0.98593043544127,0.983987827261544,1,0.995464829235239,0.972754731694452,0.996996990216495,1,0.986033860332711,0.988077070018476,0.989165444130591,1,0.974986565238316,1,0.999276149018431,0.997097236256688,0.969735779153831,0.981306762925316,1,1,0.995674096516938,0.99854333498783,0.996447590904027,0.999267667422829,1,0.988388575870835,0.993883734673619,0.99929651767586,0.994301947919425,1,0.99923751418574,0.979379228628721,0.999256781762806,1,0.999247837426483,0.995830419643793,0.992727176205432,1,0.996164159242474,0.994108932537258,0.991818382418729,0.997820556798862,1,1,0.968197735712929,0.995505595230147,0.986927542439654,0.996272815954307,1,1,0.989196658229947,0.991440641417602,0.993330788876488,0.999272991543305,1,0.984203595003549,0.961830028996905,0.99295269584194,0.988623065485961,0.995457962895088,0.990576085538603,0.995571933965376,0.998436277385793,0.989385597851921,1,0.993883734673619,0.994824364510736,1,0.993504081376735,0.969317821601834,1,1,1,1,0.99126620826707,0.991809853901896,0.997084541900653,0.952169368350031,0.999229286976064,1,1,0.999264435354679,0.993984907833866,0.998526159847529,0.999254565680977,1,1,0.993779099812834,0.990931099746317,0.994921983865941,0.897860705317838,0.999267667422829,0.986315523488354,1,0.974040805348093,1,1,1,1,0.977824294480963,1,0.988732034686126,0.969689902733181,1,1,0.978571581020666,1,1,1,0.98436293145265,0.979856197811677,1,0.997896948250535,0.991890761831541,1,1,0.999266593227341,0.984506624807521,0.960045179659766,0.896530903488841,0.902075638743929,0.992727176205432,0.991793967963386,1,0.999270871211844,0.997788423389337,0.99511340880265,1,0.997775303139718,1,1,1,1,1,0.998545453775547,0.976973121183186,0.991973602424468,0.999251216667749,1,0.989465469921849,1,0.972577211715624,0.965686967732346,0.994293819324306,1,1,0.98952850725316,0.986163822074946,0.999265515875934,1,0.999298491670942,0.950025644726068
0.951571229534631,1,0.973728991120295,0,1,1,0.67409907767122,0.994056410948668,0.719894558378157,1,0.945447751028718,0.788327664557326,0.994658489077259,0.986523363360794,0.999284436402108,0.940138945476898,1,0.998534797747842,0.957034960654999,0.758500370501986,0.99617589421434,0.999246704224545,0.999253452676831,0.727544491872711,0.996300394272616,1,0.930198613779791,0.995471674846495,0.910739295374885,0.977042479044036,0.990740541351013,0.946320446814768,0.863224468409811,1,0.994134846772434,0.997758682277284,0.932096918095448,0.940300070655054,0.954327669649687,1,0.9970238029234,1,0.988691683174189,1,1,1,1,0.943865410587462,0.926999038362706,0.999224505505695,0.999226903633956,0.999224505505695,1,0.967125240226886,0.998390988499194,0.997781882666077,1,1,0.991985298828282,0.999246704224545,0.916953493601573,0.993199770002254,0.998479086572267,0.987710746668259,0.999214762344554,1,0.997005981304201,0.999284436402108,0.997748590014319,0.998393573259967,1,1,0.994785811766895,0.998555955925354,1,1,1,1,0.999185335913656,1,0.999257884869956,0.999179991662015,0.999209798375214,1,1,0.993095429508208,1,0.999232834562952,0.999248967224134,1,0.997798162466001,0.972259612346102,0.922295468284221,0.999286478681895,1,1,1,0.997028225226904,1,0.985389449107414,1,1,1,1,1,1,1,1,1,0.993966762428216,0.99930337852918,1,0.997703785718335,1,0.981527777964814,1,1,1,1,1,1,1,0.991669676915973,1,1,1,1,0.999267667422829,1,1,1,1,0.996104387217164,1,1,1,1,1,1,0.997771998717308,0.371986225259978,0.870235566683222,0.95472021201492,1,0.864476755763706,0.935103526167645,0.945946517946345,0.916348545308252,0.944620395877462,0.999278238808891,0.996244823387272,1,1,1,0.999255675371376,1,1,1,0.999232834562952,1,1,1,1,1,0.997657161951194,0.99924442754607,1,1,0.999262264746504,0.997721227573836,1,1,1,0.996199150062745
1,0.405004662909475,1,1,0,1,1,1,1,0.987270166141154,1,1,1,0.997703785718335,1,1,0.778302894561914,0.997842500183478,1,1,1,0.977204982316806,0.99929453254006,0.994642135191968,1,0.985925803212896,1,1,1,0.846763720086046,1,1,0.99929651767586,0.997218353443439,0.996427284041495,0.997762026288249,1,0.997710794403014,0.999272991543305,0.997801389791568,0.992831448793946,0.874019321546206,1,1,1,0.998572447523426,1,1,1,0.999255675371376,1,1,1,0.997714282725439,0.998495108251917,0.96791402635163,1,1,0.99137914948104,0.998485994589724,0.999257884869956,0.98952850725316,1,0.994754553557619,1,0.999243284038434,1,1,0.996338325308995,1,1,0.998580552868609,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99927509957853,0.950693932516614,0.999240986607909,1,0.999276149018431,1,1,0.997005981304201,0.963032221426953,0.999287495456387,0.994824364510736,1,0.998510795897475,1,1,0.999246704224545,1,0.985545074390608,0.982083823491476,0.9831428011443,0.999257884869956,1,1,0.985590024660145,0.981733622209902,0.99931670644567,1,0.999246704224545,0.999295526506436,1,0.985100266577605,1,1,0.99848828333824,0.999230473144979,0.996283896474237,0.993948507213758,0.849015417250882,0.995539011213857,1,1,1,1,1,0.998433828326227,0.997155044021832,1,0.99844599750707,0.997854842005733,1,1,0.965219835763933,1,0.999277195424171,1,1,1,1,1,1,1,1,0.996305861034433,1,0.997248963150875,1,1,1,0.999262264746504,0.977377590937584,0.979886213368901,1,1,1,1,1,1,0.957680094181088,0.999215993607427,0.999243284038434,0.980526647718996,1,0.911116314988762,1,0.999248967224134,0.997748590014319,0.996364946167143,0.999313893572744,0.997734991429173
0.989728267655128,1,0.989963903720974,1,1,0,0.999262264746504,0.993614691712531,1,0.99848828333824,0.99851521818626,1,0.93459917063739,0.949748268194971,0.995106576716137,1,1,0.993893072658339,0.995539011213857,1,0.99196774141098,0.972471777207988,0.653681652843412,0.989544148881412,0.945714469244719,0.989385597851921,1,0.990630424030971,1,1,0.969491703466372,1,1,0.994334232022488,0.987568072425602,0.985569228857649,1,1,1,0.999251216667749,0.996359653006651,0.974718237730886,0.995783537087716,0.995395217283626,1,0.981727202860171,0.926049008194834,1,0.999260081289737,0.998517419496043,0.999230473144979,0.995591455387729,0.996375486443503,0.999231655668348,0.997788423389337,0.992374238800189,0.994951284010407,1,0.983481808289542,0.994592467121511,1,0.993084819079759,0.991189255566704,0.986331931315737,0.991489206929469,1,0.999248967224134,0.993939338116258,0.997058817159341,1,0.988340059993807,0.999301431979014,0.994754553557619,1,0.989353308855241,0.967204151649352,0.981137499144337,1,1,1,1,1,0.979488895414645,0.999279279185653,1,0.999261174631314,0.973718029592108,0.996300394272616,1,0.997118149627489,1,0.984107955698189,1,0.997914491994847,1,0.995698904796463,0.978656079771441,0.994481629137423,0.989288137898616,0.991769407360929,1,1,0.988605780747866,0.992652361890414,0.929813591060616,1,0.984665028012727,0.999255675371376,0.997028225226904,1,0.999306278098956,0.999289520336597,0.985697419136662,1,1,0.998504112849905,1,1,1,0.990352279056398,0.983166356715504,0.999281350967186,1,0.989832706131277,1,1,1,0.999258984707427,1,0.990451488992158,0.986354836279917,1,0.997668088547906,0.997019367438576,1,1,0.999251216667749,0.975588565761915,0.989862156735561,0.992872325400126,1,1,0.976871171719021,0.936027130477972,1,1,1,0.999238675184652,1,0.991561030552797,1,0.997721227573836,0.926939186485646,0.961062798872886,0.983294192945081,0.997146927138621,0.998534797747842,0.998545453775547,1,0.999289520336597,0.985740358132539,0.993911663346989,0.970486461333287,1,1,1,1,0.976222453645412,0.948518065392629,0.995532367828269,1,0.992066228786592,0.993695208601594,0.966633052361268
0.940888578860142,0.998521802591765,0.97961280902476,0.67409907767122,1,0.999262264746504,0,0.997791679306917,0.839331645978095,1,0.957620507840678,0.799698283979463,0.967301666813349,0.996825388814144,1,0.944795235386915,0.999258984707427,0.997093017105487,0.95303936102799,0.893610735155639,0.996879867589362,0.999248967224134,0.997067442366186,0.668293753788993,0.994134846772434,1,0.961134999781445,1,0.945246594418808,0.942726044175187,0.977987032482496,0.948055654384026,0.86561173029354,0.998521802591765,0.999254565680977,1,0.915270068474663,0.925474063468267,0.990853466364107,1,0.985718920912435,0.996128518179015,0.989728267655128,1,1,1,1,0.88263983857998,0.86646400872711,0.995457962895088,1,0.993902382172794,1,0.918879547406247,0.994674743431254,0.994108932537258,0.998485994589724,1,0.981527777964814,0.985321721929199,0.839432949175763,0.98187160886107,0.999235181532472,0.993240628502371,0.997671708133143,1,1,0.996316746232607,0.999288509337176,0.99677418514299,1,1,1,0.998528328856729,0.998490565177315,0.999293535764877,0.992619825334483,1,0.999234009845468,0.999225706426682,0.999248967224134,0.997741811193914,0.995512318416705,1,1,1,1,0.999266593227341,1,1,0.997724684196269,0.949716159867634,0.837817048558598,0.99496580765025,1,1,0.999246704224545,1,1,1,1,1,1,0.999270871211844,1,1,1,1,1,0.973981767480113,1,1,0.998481396238455,1,0.997080285739274,1,1,1,1,1,1,1,0.971008312455224,0.999256781762806,1,1,1,1,1,1,1,1,1,0.999214762344554,1,1,1,1,1,1,0.696343492695043,0.899775084339859,0.904306963556817,0.986284142758267,0.895110742640381,0.932539344815879,0.943073244765499,0.835085876453812,0.953181290349001,1,1,0.996250455487916,0.999234009845468,0.999236349640438,0.993199770002254,0.998574482525464,1,1,0.998519614288244,1,1,0.991489206929469,1,1,1,0.971950124812856,1,1,0.996222124764496,1,1,1,0.998539078840084,1
0.969963093301422,1,0.961940449814723,0.994056410948668,1,0.993614691712531,0.997791679306917,0,0.99519393029907,0.971783465568924,0.967279040667671,0.979488895414645,0.993966762428216,0.998472115226808,0.861915150854611,0.90921211313239,0.994108932537258,0.956757344045299,0.994832006747614,0.997928889733891,0.974163930360203,1,0.998555955925354,0.996996990216495,0.839492569639965,1,0.923956343277949,1,0.995717325074236,1,0.999260081289737,0.958012391830007,0.999293535764877,0.985909566364279,1,0.994785811766895,0.987747285058482,0.981663277655671,0.998545453775547,1,1,1,0.988320767282612,0.996204919895622,0.979348807928636,0.999307239265659,0.999245567602908,0.990192143212862,0.996267250877688,1,1,1,1,0.987587437834454,1,1,1,0.949304977866939,0.997105637923681,1,0.993485272670404,0.999277195424171,1,0.997731566076577,1,0.961187077012028,0.992810834165064,1,0.992769247155643,0.988958071583385,1,1,1,0.989449591819929,1,1,0.996417043299339,0.989022719084162,0.987615621274094,0.977476224833598,0.987951367321093,0.986216243217565,0.996987944965241,1,0.992531635575939,1,1,1,0.989304505324483,0.995015988907625,1,0.994877390384267,1,1,1,1,1,1,0.998521802591765,0.996923069629163,1,0.995610805441769,1,1,1,0.997076017132899,1,1,1,1,1,0.971657165392621,0.995558823351651,0.993408935871131,0.994994605681476,1,0.99641190088124,0.995478499822584,0.999257884869956,1,1,0.996322164811152,1,0.994579905884484,1,0.99650714964954,0.99054867924922,1,1,1,1,0.991006389440475,1,1,0.975758422599729,0.980274196334883,1,1,0.999270871211844,0.99854333498783,0.995519021518757,0.9916443655137,0.989788207982813,0.99784868879538,0.991719842433871,0.955229243695915,0.974218556796772,1,0.989102471648901,1,1,1,1,1,1,1,0.996417043299339,0.987402238780502,0.989165444130591,0.988635994663103,1,0.976080244661127,1,0.988422185741592,1,1,0.997717760432921,1,0.99848828333824,0.998574482525464,0.988200176807723,1,0.999267667422829,0.998517419496043
0.984368222585752,1,0.970275654783975,0.719894558378157,1,1,0.839331645978095,0.99519393029907,0,1,0.888737909883318,0.718554434108821,0.998551773316843,0.993807989999906,0.997126430841034,0.97292730308692,1,0.982917421174488,0.934404506879832,0.755790179804157,0.958057616292082,1,0.998584571123546,0.840979415212759,1,1,0.876349389552906,1,0.674782492440154,0.983537970174772,0.997917387534643,0.93492508762623,0.934472812135119,1,0.993210030866349,1,0.956885218962194,0.935796070580704,0.986793257447884,0.991631652042901,1,1,0.997882101399444,0.996364946167143,1,1,1,0.961523947640823,0.958866236985981,1,1,1,1,0.98376390005069,1,1,1,0.995841977832466,0.997959875467685,1,0.94661731304123,0.998582564843888,1,0.999285459001295,1,0.996272815954307,0.999283410871787,1,0.997155044021832,0.994862351331395,1,1,1,0.997146927138621,1,1,1,0.99549208824135,0.990057114414179,0.996349020304828,0.997778597774834,0.996343680627828,1,0.991793967963386,1,1,1,1,0.997191005687116,1,0.963892254278546,0.990576085538603,0.951079454736424,1,1,1,1,1,0.998545453775547,1,0.999253452676831,1,1,1,1,0.999274047091252,1,1,1,0.997836275863628,1,1,1,1,0.999285459001295,1,0.997778597774834,1,1,1,1,0.989134049129325,0.994350237273667,1,1,1,1,1,0.999231655668348,1,1,0.985774524132866,1,1,0.999306278098956,1,1,1,1,1,0.662834151523619,0.937701791496877,0.979126885898584,1,0.831776323209462,0.92135166407235,0.916264998391806,0.962907928645846,0.894427190999916,1,1,1,1,1,1,1,0.998562184734436,0.987531598933486,0.999255675371376,1,1,0.999283410871787,1,0.99844599750707,0.999265515875934,0.999271932921319,1,1,1,1,0.999281350967186,1,1,1
1,0.973123680201904,1,1,0.987270166141154,0.99848828333824,1,0.971783465568924,1,0,1,1,1,1,0.987096233585649,0.995211464902114,0.994541869569398,1,0.997807816143071,1,1,0.789967534928169,1,1,0.962754668502905,0.863605411897206,1,0.999285459001295,1,1,1,1,1,0.995395217283626,1,0.989255252297643,1,1,1,1,0.999268738476245,0.997561963052857,0.999251216667749,0.998517419496043,1,0.956920934256642,0.987519011690212,1,0.996128518179015,0.988925461438797,0.992406875711345,0.993095429508208,0.993330788876488,1,0.997710794403014,0.977692361093804,0.994126234063509,0.979488895414645,0.994108932537258,0.993948507213758,0.998438718798008,1,0.969958464764724,0.996204919895622,0.990595402356606,0.996960479291225,0.999232834562952,0.997794925651753,0.99854333498783,1,0.989320822807274,0.954327669649687,1,1,1,1,0.988605780747866,1,1,1,1,1,0.99924442754607,0.995597924334905,0.998416467731765,1,0.99338957132132,0.99923751418574,1,0.999266593227341,1,0.999279279185653,1,0.976397854196382,1,0.969344357270488,1,1,1,1,1,1,0.989271720300022,0.986236214354146,1,1,0.993301003861869,1,0.965061284884069,1,0.985162382045989,0.998501871817951,1,1,1,0.960887004183249,1,0.997689638807889,1,1,0.979920735732254,1,1,1,0.996316746232607,0.999270871211844,0.99401192220845,0.996134504280062,0.999211045242072,0.964769692541458,0.985590024660145,0.997710794403014,0.998501871817951,0.999224505505695,1,1,0.950857399145805,0.999267667422829,0.973169473179986,0.997794925651753,1,1,1,0.99923751418574,1,1,1,1,1,0.988094813743471,0.992808536329597,0.991382526360306,0.994446605219663,0.964332051594514,0.999269806401355,0.958706236059213,0.998570406702931,0.997032634407758,1,1,1,0.998485994589724,0.996417043299339,1,1,1,1,0.957689237017309,1,0.994832006747614,1,0.994029797388005,0.993320890011151,1
